reliable
agile
hard working
helpful
environmentally aware
communicative
diplomatic
dynamic
creative
open-minded
funny
encouraging
motivating
supporting
service oriented
respectful
trustworthy
hair loosing
balanced
joyful
clean
adaptable
185cm long 
curious
